first_sp_excluded_results_asymmetric
sp_9
sp_9
sp_3
sp_3
sp_9
sp_3
sp_9
sp_9
sp_11
sp_11
sp_9
sp_3
sp_6
sp_9
sp_8
sp_3
sp_9
sp_3
sp_9
sp_11
sp_8
sp_11
sp_15
sp_11
sp_9
sp_11
sp_9
sp_9
sp_3
sp_11
sp_9
sp_9
sp_8
sp_11
sp_9
sp_11
sp_9
sp_9
sp_6
sp_6
sp_6
sp_3
sp_11
sp_3
sp_9
sp_14
sp_9
sp_11
sp_9
sp_9
sp_9
sp_9
sp_9
sp_9
sp_6
sp_6
sp_11
sp_3
sp_6
sp_6
sp_8
sp_6
sp_8
sp_3
sp_8
sp_3
sp_9
sp_9
sp_11
sp_9
sp_9
sp_6
sp_9
sp_8
sp_9
sp_9
sp_9
sp_3
sp_3
sp_11
sp_11
sp_9
sp_11
sp_3
sp_8
sp_11
sp_3
sp_3
sp_9
sp_8
sp_9
sp_3
sp_13
sp_9
sp_6
sp_9
sp_3
sp_11
sp_3
sp_9
sp_9
sp_9
sp_3
sp_9
sp_9
sp_9
sp_9
sp_9
sp_11
sp_11
sp_3
sp_9
sp_8
sp_8
sp_9
sp_11
sp_3
sp_9
sp_9
sp_9
sp_9
sp_3
sp_11
sp_3
sp_3
sp_9
sp_9
sp_8
sp_3
sp_9
sp_14
sp_9
sp_6
sp_9
sp_9
sp_8
sp_6
sp_8
sp_6
sp_3
sp_3
sp_9
sp_11
sp_9
sp_11
sp_3
sp_3
sp_3
sp_11
sp_6
sp_3
sp_9
sp_9
sp_8
sp_9
sp_3
sp_9
sp_9
sp_11
sp_3
sp_8
sp_9
sp_9
sp_11
sp_3
sp_8
sp_6
sp_3
sp_9
sp_8
sp_11
sp_6
sp_3
sp_9
sp_8
sp_8
sp_9
sp_3
sp_9
sp_9
sp_8
sp_9
sp_11
sp_9
sp_6
sp_9
sp_9
sp_8
sp_3
sp_3
sp_8
sp_3
sp_3
sp_3
sp_3
sp_3
sp_3
sp_3
sp_11
sp_3
sp_11
sp_6
sp_9
sp_11
sp_11
sp_9
sp_11
sp_3
sp_9
sp_9
sp_3
sp_11
sp_3
sp_9
sp_9
sp_6
sp_9
sp_9
sp_9
sp_3
sp_9
sp_9
sp_3
sp_9
sp_9
sp_9
sp_6
sp_8
sp_11
sp_9
sp_9
sp_3
sp_3
sp_9
sp_11
sp_9
sp_3
sp_8
sp_9
sp_6
sp_3
sp_9
sp_6
sp_9
sp_8
sp_6
sp_9
sp_9
sp_9
sp_11
sp_3
sp_9
sp_9
sp_9
sp_3
sp_9
sp_3
sp_3
sp_11
sp_11
sp_8
sp_9
sp_11
sp_9
sp_8
sp_11
sp_11
sp_6
sp_11
sp_9
sp_3
sp_6
sp_6
sp_3
sp_9
sp_9
