first_sp_excluded_results_symmetric
sp_14
sp_2
sp_11
sp_9
sp_13
sp_1
sp_14
sp_13
sp_8
sp_11
sp_11
sp_3
sp_7
sp_12
sp_3
sp_3
sp_15
sp_4
sp_4
sp_6
sp_11
sp_11
sp_2
sp_11
sp_13
sp_14
sp_8
sp_8
sp_8
sp_7
sp_2
sp_7
sp_1
sp_12
sp_9
sp_12
sp_8
sp_4
sp_5
sp_14
sp_9
sp_5
sp_3
sp_3
sp_2
sp_5
sp_14
sp_6
sp_7
sp_3
sp_8
sp_9
sp_8
sp_6
sp_4
sp_6
sp_3
sp_13
sp_6
sp_9
sp_8
sp_14
sp_15
sp_7
sp_14
sp_5
sp_13
sp_11
sp_6
sp_7
sp_9
sp_8
sp_1
sp_1
sp_7
sp_15
sp_12
sp_9
sp_5
sp_9
sp_3
sp_13
sp_2
sp_4
sp_13
sp_2
sp_12
sp_14
sp_1
sp_2
sp_6
sp_15
sp_8
sp_3
sp_4
sp_14
sp_5
sp_11
sp_9
sp_1
sp_7
sp_15
sp_10
sp_9
sp_13
sp_5
sp_5
sp_13
sp_1
sp_14
sp_14
sp_10
sp_1
sp_4
sp_4
sp_5
sp_9
sp_15
sp_15
sp_13
sp_13
sp_10
sp_11
sp_11
sp_5
sp_7
sp_14
sp_13
sp_13
sp_4
sp_11
sp_9
sp_4
sp_5
sp_10
sp_7
sp_12
sp_4
sp_10
sp_7
sp_9
sp_5
sp_6
sp_13
sp_13
sp_10
sp_13
sp_10
sp_8
sp_11
sp_1
sp_14
sp_5
sp_4
sp_10
sp_15
sp_9
sp_5
sp_5
sp_2
sp_14
sp_3
sp_6
sp_3
sp_2
sp_12
sp_8
sp_1
sp_10
sp_14
sp_9
sp_14
sp_5
sp_9
sp_15
sp_14
sp_4
sp_11
sp_6
sp_12
sp_15
sp_8
sp_4
sp_2
sp_15
sp_15
sp_5
sp_2
sp_4
sp_8
sp_3
sp_3
sp_8
sp_7
sp_12
sp_10
sp_8
sp_14
sp_12
sp_13
sp_3
sp_6
sp_14
sp_3
sp_6
sp_6
sp_12
sp_14
sp_1
sp_8
sp_11
sp_4
sp_11
sp_11
sp_4
sp_13
sp_3
sp_13
sp_8
sp_15
sp_13
sp_6
sp_13
sp_7
sp_15
sp_3
sp_5
sp_9
sp_4
sp_9
sp_6
sp_11
sp_14
sp_2
sp_15
sp_7
sp_6
sp_8
sp_2
sp_15
sp_9
sp_1
sp_13
sp_1
sp_10
sp_4
sp_3
sp_13
sp_12
sp_13
sp_2
sp_5
sp_2
sp_1
sp_15
sp_2
sp_14
sp_3
sp_5
sp_1
sp_11
sp_2
sp_12
sp_15
sp_12
sp_9
sp_9
sp_13
sp_9
sp_15
sp_14
sp_2
sp_2
sp_4
sp_5
sp_1
sp_12
sp_7
sp_13
sp_1
sp_15
sp_11
sp_11
sp_12
sp_2
sp_13
sp_6
sp_15
sp_14
sp_15
sp_1
sp_1
sp_11
sp_8
sp_8
sp_5
sp_11
sp_6
sp_11
sp_4
sp_3
sp_6
sp_12
sp_14
sp_14
sp_5
sp_8
sp_7
sp_2
sp_13
sp_14
sp_10
sp_2
sp_5
sp_14
sp_1
sp_11
sp_13
sp_10
sp_11
sp_3
sp_12
sp_12
sp_12
sp_11
sp_5
sp_12
sp_15
sp_10
sp_3
sp_15
sp_9
sp_4
sp_9
sp_15
sp_10
sp_14
sp_5
sp_9
sp_2
sp_3
sp_11
sp_3
sp_6
sp_9
sp_6
sp_10
sp_1
sp_11
sp_9
sp_4
sp_14
sp_12
sp_12
sp_6
sp_13
sp_1
sp_6
sp_1
sp_1
sp_1
sp_11
sp_4
sp_14
sp_8
sp_15
sp_4
sp_9
sp_15
sp_14
sp_7
sp_1
sp_7
sp_2
sp_7
sp_15
sp_15
sp_3
sp_7
sp_11
sp_11
sp_12
sp_3
sp_10
sp_6
sp_7
sp_8
sp_3
sp_11
sp_4
sp_12
sp_6
sp_13
sp_1
sp_9
sp_1
sp_9
sp_7
sp_11
sp_7
sp_2
sp_8
sp_1
sp_1
sp_5
sp_2
sp_8
sp_15
sp_11
sp_1
sp_11
sp_10
sp_11
sp_15
sp_12
sp_5
sp_11
sp_2
sp_11
sp_9
sp_5
sp_1
sp_5
sp_11
sp_13
sp_14
sp_12
sp_12
sp_9
sp_13
sp_11
sp_13
sp_4
sp_11
sp_7
sp_4
sp_7
sp_3
sp_2
sp_13
sp_7
sp_8
sp_15
sp_5
sp_15
sp_1
sp_13
sp_5
sp_2
sp_3
sp_7
sp_11
sp_12
sp_12
sp_11
sp_11
sp_11
sp_13
sp_3
sp_10
sp_15
sp_7
sp_2
sp_15
sp_14
sp_2
sp_5
sp_3
sp_14
sp_6
sp_13
sp_15
sp_3
sp_10
sp_13
sp_10
sp_1
sp_3
sp_2
sp_2
sp_1
sp_8
sp_5
sp_15
sp_1
sp_6
sp_7
sp_4
sp_14
sp_15
sp_5
sp_5
sp_2
sp_12
sp_9
sp_3
sp_9
sp_6
sp_11
sp_13
sp_13
sp_13
sp_11
sp_12
sp_12
sp_10
sp_5
sp_12
sp_9
sp_1
sp_8
sp_1
sp_9
sp_6
sp_13
sp_8
