total_number_species,capital_omega,time_LV_unitary
10,9.765625e-4,3.600192e-4
20,9.5367431640625e-7,7.0014e-4
30,9.313225746154785e-10,0.0026200223
40,9.094947017729282e-13,0.0183304191
50,8.881784197001252e-16,0.09596988919999999
60,8.673617379884035e-19,0.654600234
70,8.470329472543003e-22,4.63893285
80,8.271806125530277e-25,28.808340180000002
90,8.077935669463161e-28,172.32337655999999
100,7.888609052210118e-31,1266.6963513599999
