year,plot,species,prob_exclusion,Omega
2015,1,BEMA,0.1493361347497268,6.069351194095071e-15
2015,1,CETE,0.009245486590234045,6.069351194095071e-15
2015,1,CHFU,0.03299090628301575,6.069351194095071e-15
2015,1,CHMI,0.08344111347141185,6.069351194095071e-15
2015,1,HOMA,0.12068702656001813,6.069351194095071e-15
2015,1,LEMA,0.11899410193328308,6.069351194095071e-15
2015,1,MEEL,0.04719627828813736,6.069351194095071e-15
2015,1,MESU,0.011590621934427012,6.069351194095071e-15
2015,1,PAIN,0.07314208345510045,6.069351194095071e-15
2015,1,PLCO,0.033376287316282664,6.069351194095071e-15
2015,1,POMA,0.006209961869607509,6.069351194095071e-15
2015,1,POMO,0.01852646722514106,6.069351194095071e-15
2015,1,PUPA,0.010316303581151692,6.069351194095071e-15
2015,1,SASO,0.22146855353323933,6.069351194095071e-15
2015,1,SCLA,0.03384570183268838,6.069351194095071e-15
2015,1,SOAS,0.012360674176033612,6.069351194095071e-15
2015,1,SPRU,0.017272297200501278,6.069351194095071e-15
2015,2,BEMA,0.056899864197332534,6.879155299747821e-13
2015,2,CETE,0.017836743333554984,6.879155299747821e-13
2015,2,CHFU,0.030071627881995206,6.879155299747821e-13
2015,2,CHMI,0.04393030059374779,6.879155299747821e-13
2015,2,HOMA,0.17848486126205299,6.879155299747821e-13
2015,2,LEMA,0.11339808690036464,6.879155299747821e-13
2015,2,MEEL,0.08174797073974616,6.879155299747821e-13
2015,2,MESU,0.01790602804985891,6.879155299747821e-13
2015,2,PAIN,0.004053404810445808,6.879155299747821e-13
2015,2,PLCO,0.18074707586843014,6.879155299747821e-13
2015,2,POMA,0.047329430098172684,6.879155299747821e-13
2015,2,POMO,0.024340109104923246,6.879155299747821e-13
2015,2,PUPA,0.01720018213606284,6.879155299747821e-13
2015,2,SASO,0.07763303018900393,6.879155299747821e-13
2015,2,SCLA,0.010202918864505172,6.879155299747821e-13
2015,2,SOAS,0.07911392135655884,6.879155299747821e-13
2015,2,SPRU,0.01910444461324406,6.879155299747821e-13
2015,3,BEMA,0.02372431823929387,2.5933010425760935e-11
2015,3,CETE,0.05527785063231915,2.5933010425760935e-11
2015,3,CHFU,0.04252972428461171,2.5933010425760935e-11
2015,3,CHMI,0.07058498693578837,2.5933010425760935e-11
2015,3,HOMA,0.04080684858112409,2.5933010425760935e-11
2015,3,LEMA,0.05641222383645447,2.5933010425760935e-11
2015,3,MEEL,0.04361078909748407,2.5933010425760935e-11
2015,3,MESU,0.21161190580513228,2.5933010425760935e-11
2015,3,PAIN,0.05722353072415744,2.5933010425760935e-11
2015,3,PLCO,0.1209825924695597,2.5933010425760935e-11
2015,3,POMA,0.0067710740748873205,2.5933010425760935e-11
2015,3,POMO,0.060046621922006584,2.5933010425760935e-11
2015,3,PUPA,0.01944275854567579,2.5933010425760935e-11
2015,3,SASO,0.129185195191273,2.5933010425760935e-11
2015,3,SCLA,0.021318873929677372,2.5933010425760935e-11
2015,3,SOAS,0.040470705730554814,2.5933010425760935e-11
2015,4,BEMA,0.2067397916405891,3.421085856812728e-7
2015,4,CHFU,0.0044627317475654195,3.421085856812728e-7
2015,4,LEMA,0.12040385272072644,3.421085856812728e-7
2015,4,PAIN,0.3830705277885731,3.421085856812728e-7
2015,4,PLCO,0.05077057989427854,3.421085856812728e-7
2015,4,PUPA,0.038177937253262254,3.421085856812728e-7
2015,4,SASO,0.17972678151489252,3.421085856812728e-7
2015,4,SOAS,0.016647797440112657,3.421085856812728e-7
2015,5,BEMA,0.005946868050895367,1.1611255101139363e-6
2015,5,CHFU,0.2995546369410709,1.1611255101139363e-6
2015,5,LEMA,0.14063464735285078,1.1611255101139363e-6
2015,5,PAIN,0.0017120510226853612,1.1611255101139363e-6
2015,5,PLCO,0.04308113457578191,1.1611255101139363e-6
2015,5,PUPA,0.07174674858068787,1.1611255101139363e-6
2015,5,SASO,0.15380044339270996,1.1611255101139363e-6
2015,5,SOAS,0.2835234700833179,1.1611255101139363e-6
2015,6,BEMA,0.06388307859227521,4.0611571485345004e-10
2015,6,CHFU,0.0712529717573251,4.0611571485345004e-10
2015,6,HOMA,0.11613445107723998,4.0611571485345004e-10
2015,6,LEMA,0.07124793023541438,4.0611571485345004e-10
2015,6,MEEL,0.04897889038394647,4.0611571485345004e-10
2015,6,MESU,0.06659949780982219,4.0611571485345004e-10
2015,6,PAIN,0.029465413502923345,4.0611571485345004e-10
2015,6,PLCO,0.2398060618989342,4.0611571485345004e-10
2015,6,POMA,0.02577784437027788,4.0611571485345004e-10
2015,6,SASO,0.08855896129386859,4.0611571485345004e-10
2015,6,SCLA,0.05549219093622561,4.0611571485345004e-10
2015,6,SPRU,0.08096009207641547,4.0611571485345004e-10
2015,6,SUSP,0.04184261606533161,4.0611571485345004e-10
2015,7,HOMA,0.12779430833528943,3.918035945715609e-5
2015,7,POMA,0.36899755991231287,3.918035945715609e-5
2015,7,POMO,0.31043739421753647,3.918035945715609e-5
2015,7,PUPA,0.003941630185102194,3.918035945715609e-5
2015,7,SASO,0.1882225191600449,3.918035945715609e-5
2015,7,SUSP,6.065881897140711e-4,3.918035945715609e-5
2015,8,HOMA,0.29553254798467854,1.0451657366273668e-6
2015,8,PLCO,0.2746168745964338,1.0451657366273668e-6
2015,8,POMA,0.08800839292818446,1.0451657366273668e-6
2015,8,POMO,0.02799036207908767,1.0451657366273668e-6
2015,8,PUPA,0.047824356985555636,1.0451657366273668e-6
2015,8,SASO,0.2268497087849242,1.0451657366273668e-6
