"node_id";"taxonomy_name";"taxonomy_rank"
"mangal_node_0984";"Aesculus hippocastanum";"species"
"mangal_node_0985";"Agastache nepetoides";"species"
"mangal_node_0986";"Agastache scrophulariaefolia";NA
"mangal_node_0987";"Agrimonia striata";"species"
"mangal_node_0988";"Alisma plantago-aquatica";"species"
"mangal_node_0989";"Amaranthus spinosus";"species"
"mangal_node_0990";"Ambrosia trifida";"species"
"mangal_node_0991";"Amelanchier canadensis";"species"
"mangal_node_0992";"Ammannia coccinea";"species"
"mangal_node_0993";"Amorpha canescens";"species"
"mangal_node_0994";"Amorpha fruticosa";"species"
"mangal_node_0995";"Anemonella thalictroides";NA
"mangal_node_0996";"Anethum graveolens";"species"
"mangal_node_0997";"Antennaria plantaginifolia";"species"
"mangal_node_0998";"Anthemis cotula";"species"
"mangal_node_0999";"Apocynum androsaemifolium";"species"
"mangal_node_1000";"Apocynum cannabinum";"species"
"mangal_node_1001";"Aquilegia canadensis";"species"
"mangal_node_1002";"Boechera laevigata";"species"
"mangal_node_1003";"Arctium minus";"species"
"mangal_node_1004";"Arisaema triphyllum";"species"
"mangal_node_1005";"Aristolochia tomentosa";"species"
"mangal_node_1006";"Aruncus sylvester";"species"
"mangal_node_1007";"Asclepias incarnata";"species"
"mangal_node_1008";"Asclepias purpurascens";"species"
"mangal_node_1009";"Asclepias sullivantii";"species"
"mangal_node_1012";"Asclepias verticillata";"species"
"mangal_node_1013";"Asparagus officinalis";"species"
"mangal_node_1016";"Symphyotrichum turbinellum";"species"
"mangal_node_1017";"Astragalus canadensis";"species"
"mangal_node_1018";"Baptisia bracteata";"species"
"mangal_node_1019";"Baptisia alba";"species"
"mangal_node_1020";"Bidens aristosa";"species"
"mangal_node_1021";"Bidens bipinnata";"species"
"mangal_node_1022";"Bidens connata";"species"
"mangal_node_1024";"Bidens laevis";"species"
"mangal_node_1025";"Blephilia ciliata";"species"
"mangal_node_1026";"Blephilia hirsuta";"species"
"mangal_node_1027";"Boltonia asteroides";"species"
"mangal_node_1029";"Capsella bursa-pastoris";"species"
"mangal_node_1034";"Ceanothus americanus";"species"
"mangal_node_1035";"Celastrus scandens";"species"
"mangal_node_1036";"Cephalanthus occidentalis";"species"
"mangal_node_1037";"Cerastium nutans";"species"
"mangal_node_1038";"Cercis canadensis";"species"
"mangal_node_1040";"Chrysanthemum leucanthemum";NA
"mangal_node_1041";"Cicuta maculata";"species"
"mangal_node_1042";"Circaea lutetiana";"species"
"mangal_node_1043";"Cirsium altissimum";"species"
"mangal_node_1044";"Cirsium discolor";"species"
"mangal_node_1045";"Cirsium pumilum";"species"
"mangal_node_1046";"Claytonia virginica";"species"
"mangal_node_1049";"Collinsia verna";"species"
"mangal_node_1050";"Comandra umbellata";"species"
"mangal_node_1051";"Calystegia sepium";"species"
"mangal_node_1052";"Coreopsis tripteris";"species"
"mangal_node_1053";"Coreopsis palmata";"species"
"mangal_node_1054";"Cornus amomum";"species"
"mangal_node_1055";"Cornus florida";"species"
"mangal_node_1058";"Crataegus mollis";"species"
"mangal_node_1059";"Crotalaria sagittalis";"species"
"mangal_node_1060";"Cryptotaenia canadensis";"species"
"mangal_node_1061";"Cucurbita pepo";"species"
"mangal_node_1062";"Cuscuta cephalanthi";"species"
"mangal_node_1063";"Cuscuta glomerata";"species"
"mangal_node_1064";"Cynoglossum officinale";"species"
"mangal_node_1065";"Datura stramonium";"species"
"mangal_node_1066";"Datura tatula";NA
"mangal_node_1067";"Delphinium tricorne";"species"
"mangal_node_1068";"Cardamine concatenata";"species"
"mangal_node_1069";"Desmodium canadense";"species"
"mangal_node_1070";"Desmodium canescens";"species"
"mangal_node_1076";"Desmodium sessilifolium";"species"
"mangal_node_1077";"Dicentra cucullaria";"species"
"mangal_node_1078";"Diospyros virginiana";"species"
"mangal_node_1079";"Dipsacus sylvestris";"species"
"mangal_node_1081";"Dodecatheon meadia";"species"
"mangal_node_1082";"Echinocystis lobata";"species"
"mangal_node_1083";"Erigenia bulbosa";"species"
"mangal_node_1084";"Erigeron annuus";"species"
"mangal_node_1085";"Erigeron canadensis";"species"
"mangal_node_1086";"Erigeron philadelphicus";"species"
"mangal_node_1088";"Eryngium yuccifolium";"species"
"mangal_node_1089";"Erythronium albidum";"species"
"mangal_node_1090";"Ageratina altissima";"species"
"mangal_node_1091";"Eupatorium coelestinum";"species"
"mangal_node_1092";"Eupatorium perfoliatum";"species"
"mangal_node_1093";"Eupatorium purpureum";"species"
"mangal_node_1094";"Eupatorium serotinum";"species"
"mangal_node_1095";"Eupatorium sessilifolium";"species"
"mangal_node_1096";"Eupatorium urticaefolium";NA
"mangal_node_1097";"Euphorbia corollata";"species"
"mangal_node_1098";"Frasera carolinensis";"species"
"mangal_node_1099";"Galium trifidum";"species"
"mangal_node_1104";"Aureolaria grandiflora";"species"
"mangal_node_1105";"Geum canadense";"species"
"mangal_node_1108";"Pseudognaphalium obtusifolium";"species"
"mangal_node_1109";"Gratiola virginiana";"species"
"mangal_node_1110";"Gymnocladus dioica";"species"
"mangal_node_1111";"Platanthera leucophaea";"species"
"mangal_node_1112";"Hedeoma pulegioides";"species"
"mangal_node_1113";"Helenium autumnale";"species"
"mangal_node_1114";"Helianthus annuus";"species"
"mangal_node_1115";"Helianthus divaricatus";"species"
"mangal_node_1116";"Helianthus laetiflorus";"species"
"mangal_node_1120";"Helianthus tuberosus";"species"
"mangal_node_1121";"Heliopsis helianthoides";"species"
"mangal_node_1122";"Hepatica nobilis";"species"
"mangal_node_1123";"Heracleum lanatum";NA
"mangal_node_1126";"Cubelium concolor";"species"
"mangal_node_1127";"Hydrangea arborescens";"species"
"mangal_node_1128";"Hydrophyllum appendiculatum";"species"
"mangal_node_1129";"Hydrophyllum virginianum";"species"
"mangal_node_1136";"Ipomoea hederacea";"species"
"mangal_node_1137";"Ipomoea pandurata";"species"
"mangal_node_1138";"Ipomoea purpurea";"species"
"mangal_node_1139";"Iris hexagona";"species"
"mangal_node_1140";"Iris versicolor";"species"
"mangal_node_1141";"Enemion biternatum";"species"
"mangal_node_1144";"Lantana camara";"species"
"mangal_node_1146";"Lepidium virginicum";"species"
"mangal_node_1147";"Lespedeza capitata";"species"
"mangal_node_1148";"Lespedeza procumbens";"species"
"mangal_node_1149";"Lespedeza virginica";"species"
"mangal_node_1150";"Liatris pycnostachya";"species"
"mangal_node_1151";"Liatris scariosa";"species"
"mangal_node_1152";"Lilium superbum";"species"
"mangal_node_1153";"Linaria vulgaris";"species"
"mangal_node_1154";"Liparis liliifolia";"species"
"mangal_node_1155";"Phyla lanceolata";"species"
"mangal_node_1157";"Lobelia cardinalis";"species"
"mangal_node_1158";"Lobelia inflata";"species"
"mangal_node_1159";"Lobelia siphilitica";"species"
"mangal_node_1161";"Lonicera sempervirens";"species"
"mangal_node_1162";"Ludvigia polycarpa";NA
"mangal_node_1163";"Lycopus americanus";"species"
"mangal_node_1164";"Lythrum alatum";"species"
"mangal_node_1165";"Marrubium vulgare";"species"
"mangal_node_1166";"Veratrum virginicum";"species"
"mangal_node_1167";"Melilotus albus";"species"
"mangal_node_1170";"Mimulus alatus";"species"
"mangal_node_1171";"Mimulus ringens";"species"
"mangal_node_1172";"Mollugo verticillata";"species"
"mangal_node_1173";"Monarda bradburiana";"species"
"mangal_node_1175";"Myosurus minimus";"species"
"mangal_node_1176";"Nelumbo lutea";"species"
"mangal_node_1177";"Nepeta cataria";"species"
"mangal_node_1179";"Oenothera biennis";"species"
"mangal_node_1180";"Oenothera fruticosa";"species"
"mangal_node_1181";"Aphyllon uniflorum";"species"
"mangal_node_1182";"Oxalis corniculata";"species"
"mangal_node_1183";"Oxalis stricta";NA
"mangal_node_1184";"Oxalis violacea";"species"
"mangal_node_1185";"Ferula communis";"species"
"mangal_node_1186";"Panicum virgatum";"species"
"mangal_node_1187";"Parthenium integrifolium";"species"
"mangal_node_1188";"Passiflora lutea";"species"
"mangal_node_1189";"Pastinaca sativa";"species"
"mangal_node_1190";"Penstemon hirsutus";"species"
"mangal_node_1191";"Penstemon laevigatus";"species"
"mangal_node_1192";"Phlox divaricata";"species"
"mangal_node_1193";"Phlox glaberrima";"species"
"mangal_node_1194";"Phlox pilosa";"species"
"mangal_node_1196";"Physalis lanceolata";"species"
"mangal_node_1197";"Physalis longifolia";"species"
"mangal_node_1198";"Physalis virginiana";"species"
"mangal_node_1199";"Physostegia virginiana";"species"
"mangal_node_1200";"Phytolacca icosandra";"species"
"mangal_node_1201";"Plantago major";"species"
"mangal_node_1202";"Poa pratensis";"species"
"mangal_node_1203";"Podophyllum peltatum";"species"
"mangal_node_1204";"Polemonium reptans";"species"
"mangal_node_1205";"Polygala sanguinea";"species"
"mangal_node_1209";"Persicaria lapathifolia lapathifolia";"infraspecies"
"mangal_node_1210";"Polygonum pennsylvanicum";NA
"mangal_node_1211";"Persicaria maculosa maculosa";"infraspecies"
"mangal_node_1212";"Fallopia scandens";"species"
"mangal_node_1213";"Polytaenia nuttallii";"species"
"mangal_node_1214";"Pontederia cordata";"species"
"mangal_node_1215";"Populus deltoides";"species"
"mangal_node_1216";"Populus tremuloides";"species"
"mangal_node_1217";"Portulaca oleracea";"species"
"mangal_node_1218";"Potentilla canadensis";"species"
"mangal_node_1219";"Nabalus asper";"species"
"mangal_node_1220";"Nabalus serpentarius";"species"
"mangal_node_1221";"Prunella vulgaris";"species"
"mangal_node_1224";"Psoralea onobrychis";"species"
"mangal_node_1225";"Ptelea trifoliata";"species"
"mangal_node_1226";"Pycnanthemum flexuosum";"species"
"mangal_node_1240";"Rosa setigera";"species"
"mangal_node_1241";"Rubus canadensis";"species"
"mangal_node_1242";"Rubus occidentalis";"species"
"mangal_node_1243";"Rudbeckia hirta";"species"
"mangal_node_1244";"Rudbeckia laciniata";"species"
"mangal_node_1245";"Rudbeckia subtomentosa";"species"
"mangal_node_1246";"Rudbeckia triloba";"species"
"mangal_node_1247";"Ruellia caroliniensis";"species"
"mangal_node_1248";"Ruellia strepens";"species"
"mangal_node_1249";"Sagittaria latifolia";"species"
"mangal_node_1251";"Salix cordata";"species"
"mangal_node_1252";"Salix humilis";"species"
"mangal_node_1253";"Salix interior";"species"
"mangal_node_1254";"Salix nigra";"species"
"mangal_node_1255";"Sambucus canadensis";"species"
"mangal_node_1256";"Sanguinaria canadensis";"species"
"mangal_node_1257";"Sanicula canadensis";"species"
"mangal_node_1258";"Sanicula marilandica";"species"
"mangal_node_1259";"Saponaria officinalis";"species"
"mangal_node_1260";"Scrophularia marilandica";"species"
"mangal_node_1261";"Scutellaria lateriflora";"species"
"mangal_node_1263";"Senecio aureus";"species"
"mangal_node_1264";"Dasistoma macrophylla";"species"
"mangal_node_1266";"Sida spinosa";"species"
"mangal_node_1270";"Silphium laciniatum";"species"
"mangal_node_1271";"Silphium perfoliatum";"species"
"mangal_node_1272";"Silphium terebinthinaceum";"species"
"mangal_node_1274";"Maianthemum racemosum";"species"
"mangal_node_1275";"Maianthemum stellatum";"species"
"mangal_node_1276";"Smilax herbacea";"species"
