cos_variance,J_index,proportions,small_omega_mean,convergence_solver
0.03968253970123319,0.8968618618844705,1,0.37096941778727605,Function criterion near zero
0.029818384492741715,0.9326956826837283,0.9,0.3218625709335726,Function criterion near zero
0.02095075035432923,0.9499269537155683,0.8,0.2770230997254153,Function criterion near zero
0.013598932454856442,0.9598038835257241,0.7,0.2375859441814774,Function criterion near zero
0.008005034212241613,0.9658711878930771,0.6000000000000001,0.20196182812179844,Function criterion near zero
0.004149468746821902,0.9698951650942171,0.5,0.16888520986963332,Function criterion near zero
0.0018016860936681017,0.9721788981148792,0.4,0.1375174856529713,Function criterion near zero
5.962467249746808e-4,0.9747819712015691,0.3,0.10662485024374878,Function criterion near zero
