saavedra_index,saavedra_index_lowerlimit,saavedra_index_upperlimit,proportions
1.0531601640711649e-4,4.409312863887272e-6,4.409312863887272e-6,1
3.028810924561846e-5,1.1394687305078142e-6,1.1394687305078142e-6,0.9
1.7159906336177397e-5,9.081905559779419e-8,9.081905559779419e-8,0.8
9.91406310742229e-7,3.8852271757834276e-8,3.8852271757834276e-8,0.7
1.9156998413940099e-7,1.2775809812720012e-8,1.2775809812720012e-8,0.6000000000000001
3.6739943416048226e-8,8.967959749357565e-10,8.967959749357565e-10,0.5
1.1140936123955731e-8,7.113167182279351e-10,7.113167182279351e-10,0.4
1.0358496278591007e-10,3.168250774714083e-12,3.168250774714083e-12,0.3
