saavedra_index,saavedra_index_lowerlimit,saavedra_index_upperlimit,proportions
1.0997505922483353e-7,1.2968575760308983e-9,1.2968575760308983e-9,1
5.369788720245363e-10,7.40212813752177e-11,7.40212813752177e-11,0.9
1.1005567096419561e-11,4.919710405606387e-13,4.919710405606387e-13,0.8
1.8338588091809447e-13,3.80971511648606e-15,3.80971511648606e-15,0.7
1.0783595576606387e-14,5.445734927718059e-16,5.445734927718059e-16,0.6000000000000001
1.2003878339700714e-15,1.5854815719544785e-17,1.5854815719544785e-17,0.5
7.00880983935063e-18,2.582906120506312e-19,2.582906120506312e-19,0.4
1.0773158849139043e-18,2.8175814826083975e-20,2.8175814826083975e-20,0.3
