year,species,total_individuals,total_individuals_prev_year,prob_excl,Omega,number_plant_sp,iso_prob,exclusion_ratio_prev_year,prob_excl_prev_year,arc_distance_prev_year,relative_arc_distance_prev_year,dif_total_individuals
2016,BEMA,1230,136,0.00902188834717611,7.359551634657411e-16,18,0.14430105949792277,0.06252128971586644,0.00902188834717611,0.0010191267177900925,1.947569979945275,1094
2016,CETE,37,1206,0.009717199939596079,7.359551634657411e-16,18,0.14430105949792277,0.06733976849099961,0.009717199939596079,2.048950415178733e-5,0.0391558208546586,-1169
2016,HOMA,13159,6719,0.13514905477932146,7.359551634657411e-16,18,0.14430105949792277,0.9365770095490321,0.13514905477932146,0.001027396488590055,1.9633736646783762,6440
2016,LEMA,3448,2485,0.1474353768674998,7.359551634657411e-16,18,0.14430105949792277,1.0217206816116422,0.1474353768674998,1.3487925731625542e-5,0.0257756751815978,963
2016,PAIN,78,1239,0.08242681989942972,7.359551634657411e-16,18,0.14430105949792277,0.5712142390792098,0.08242681989942972,0.0010292346040785285,1.9668863373249987,-1161
2016,POMA,709,4101,0.016054330518585288,7.359551634657411e-16,18,0.14430105949792277,0.1112558048738124,0.016054330518585288,0.001081797299972817,2.067334619959263,-3392
2016,SASO,490,7346,0.0012683830977273825,7.359551634657411e-16,18,0.14430105949792277,0.008789839119273002,0.0012683830977273825,1.593017680538683e-4,0.3044286208948365,-6856
2017,BEMA,90,1230,0.14743082434420074,5.297451354913632e-7,15,0.38159657244934814,0.38635259063751215,0.14743082434420074,0.0015156228413038624,0.11319253454855661,-1140
2017,CETE,1057,37,0.11632259991835425,5.297451354913632e-7,15,0.38159657244934814,0.3048313541490065,0.11632259991835425,4.197832235965422e-4,0.0313510233185577,1020
2017,HOMA,54264,13159,0.13670563688240336,5.297451354913632e-7,15,0.38159657244934814,0.35824650102314326,0.13670563688240336,0.05997172938184091,4.478919072076547,41105
2017,LEMA,21657,3448,0.044589257834770815,5.297451354913632e-7,15,0.38159657244934814,0.11684920948992393,0.044589257834770815,0.005605297380396624,0.41862513555130193,18209
2017,PAIN,2980,78,7.209850676263075e-4,5.297451354913632e-7,15,0.38159657244934814,0.001889390837550064,7.209850676263075e-4,0.006610218006664826,0.49367646732561327,2902
2017,POMA,5085,709,0.03545485415078333,5.297451354913632e-7,15,0.38159657244934814,0.09291187791129725,0.03545485415078333,0.06865221531688344,5.127211099171677,4376
2017,SASO,1629,490,0.0379813238628748,5.297451354913632e-7,15,0.38159657244934814,0.09953266513659871,0.0379813238628748,0.0023163220893964785,0.1729918294871026,1139
2019,BEMA,1052,20,0.09496615766981246,4.909102828722138e-6,8,0.2169577988899301,0.43771718811542676,0.09496615766981246,0.010709513878153729,0.2804329406878959,1032
2019,CETE,705,522,0.2842287556297465,4.909102828722138e-6,8,0.2169577988899301,1.3100647088236046,0.2842287556297465,0.002953166302993676,0.0773298508327523,183
2019,HOMA,71923,43355,0.10950232683587838,4.909102828722138e-6,8,0.2169577988899301,0.5047171726305748,0.10950232683587838,0.0852651295300209,2.232701809277667,28568
2019,LEMA,4182,814,0.04549018872934329,4.909102828722138e-6,8,0.2169577988899301,0.20967298231312703,0.04549018872934329,0.019475273671083773,0.5099678966217575,3368
2019,PAIN,7534,29,0.12283673058214988,4.909102828722138e-6,8,0.2169577988899301,0.566177990423239,0.12283673058214988,0.0014167801137424613,0.037098958750630504,7505
2019,POMA,7332,315,0.0809538372415976,4.909102828722138e-6,8,0.2169577988899301,0.37313172264744526,0.0809538372415976,0.0624501072451185,1.6352812480824042,7017
2019,SASO,791,4771,0.2088810390990575,4.909102828722138e-6,8,0.2169577988899301,0.9627726690066107,0.2088810390990575,0.08874631455679212,2.3238580433741136,-3980
2020,BEMA,2023,1052,0.01948506386570904,2.01561781977077e-15,17,0.13663231378065013,0.14260948472987445,0.01948506386570904,4.365459315152351e-6,0.003076428931697162,971
2020,CETE,1946,705,0.008580783347931142,2.01561781977077e-15,17,0.13663231378065013,0.06280200569322682,0.008580783347931142,0.002151062436318669,1.5158979239614767,1241
2020,HOMA,16780,71923,0.297853696403112,2.01561781977077e-15,17,0.13663231378065013,2.17996525244597,0.297853696403112,9.451318315849275e-6,0.006660538332961939,-55143
2020,LEMA,9098,4182,0.03776728978389617,2.01561781977077e-15,17,0.13663231378065013,0.276415503323232,0.03776728978389617,0.0025456622608267246,1.793980533126015,4916
2020,PAIN,886,7534,0.015027659001820293,2.01561781977077e-15,17,0.13663231378065013,0.10998612689781229,0.015027659001820293,5.914796805640328e-4,0.4168278915078337,-6648
2020,POMA,3367,7332,0.26043051884650936,2.01561781977077e-15,17,0.13663231378065013,1.9060682765323376,0.26043051884650936,5.285969822104161e-6,0.0037251316113186173,-3965
2020,SASO,2222,791,0.00409102917805303,2.01561781977077e-15,17,0.13663231378065013,0.029941886109173112,0.00409102917805303,8.382396196245806e-6,0.005907246938614263,1431
2021,BEMA,459,2023,0.06994026275551053,5.151886403742076e-18,16,0.08308026868785617,0.8418396312400671,0.06994026275551053,6.646711721240417e-4,1.9795980656294025,-1564
2021,CETE,1603,1946,0.0039029204810066124,5.151886403742076e-18,16,0.08308026868785617,0.04697770653186515,0.0039029204810066124,1.601430745160783e-5,0.04769560255229655,-343
2021,HOMA,16465,16780,0.1512615123428412,5.151886403742076e-18,16,0.08308026868785617,1.8206671058220958,0.1512615123428412,6.798920583977701e-4,2.024930612441008,-315
2021,LEMA,11455,9098,0.011476446367482126,5.151886403742076e-18,16,0.08308026868785617,0.13813684703645687,0.011476446367482126,2.5736905919906833e-6,0.007665253332940604,2357
2021,PAIN,678,886,0.19937330982816506,5.151886403742076e-18,16,0.08308026868785617,2.3997672729879773,0.19937330982816506,2.253012670459072e-6,0.006710174461195034,-208
2021,POMA,25,3367,5.808274742728509e-4,5.151886403742076e-18,16,0.08308026868785617,0.006991160277238612,5.808274742728509e-4,4.3217246687324215e-6,0.012871444036102977,-3342
2021,SASO,2821,2222,1.6986057655512742e-6,5.151886403742076e-18,16,0.08308026868785617,2.0445357151325138e-5,1.6986057655512742e-6,1.1631404406891395e-5,0.03464195023059984,599
