cos_variance,J_index,proportions,small_omega_mean,convergence_solver
0.11111111111229156,0.9718604378528282,1,0.3467670248399416,Function criterion near zero
0.08206021868550824,0.9720502513017061,0.9,0.3186423479087864,Function criterion near zero
0.05682392658171734,0.9721984913992768,0.8,0.2910179473207808,Function criterion near zero
0.036437492148989684,0.9723721395809122,0.7,0.2635248672314494,Function criterion near zero
0.02123357620007643,0.9725010817800197,0.6000000000000001,0.23576713860667153,Function criterion near zero
0.01091635791162505,0.9726014287466862,0.5,0.20734307150803227,Function criterion near zero
0.0047089738739461064,0.9727413829731931,0.4,0.17766365989643604,Function criterion near zero
0.0015506618500747455,0.9725122570824457,0.3,0.14610123569848293,Function criterion near zero
