cos_variance,J_index,proportions,small_omega_mean,convergence_solver
0.009800330129435668,0.7781992791454436,1.1,0.3981022467765117,No better point found (algorithm has stalled)
0.016363636359808677,0.850081022875889,1,0.3971693646232183,Function criterion near zero
0.012421552504149756,0.9539841928564853,0.9000000000000001,0.3136379704760819,Function criterion near zero
0.008802061125483766,0.9746401761919116,0.8,0.2523976349783967,Function criterion near zero
0.005754001020022097,0.9828648992028507,0.7000000000000001,0.20662111111963674,Function criterion near zero
0.003407021900277105,0.9870243177836798,0.6000000000000001,0.16944568840212393,Function criterion near zero
0.0017745025885752119,0.9894402706922931,0.5,0.13746471380881223,Function criterion near zero
7.734036577613158e-4,0.9911504815099585,0.4,0.10868642742892205,Function criterion near zero
2.56684625253199e-4,0.9895470252526435,0.3,0.08210130189728904,Function criterion near zero
