network_id,small_omega_mean,small_omega_lowerCI,small_omega_upperCI,anisotropy_index_mean,anisotropy_index_lowerCI,anisotropy_index_upperCI,mean_pairwise_similarity_mean,mean_pairwise_similarity_lowerCI,mean_pairwise_similarity_upperCI
mangal_929,0.6675845137595947,0.667584079480035,0.6675849484700775,0.9737239959943662,0.9737225807625058,0.9737254453397807,0.7774301846399096,0.7774229733116542,0.777437566706909
mangal_1384,0.6427682259586847,0.6427679957725759,0.6427684498925987,0.9773323608350324,0.9773319465713528,0.9773327656867536,0.8593427536120543,0.8593394762618557,0.8593460081741819
mangal_1388,0.6479204425096463,0.6479201264431815,0.6479207577035072,0.9735236219301039,0.9735229304882884,0.9735243349428935,0.8261395008032368,0.8261349485935767,0.8261441603947507
mangal_1387,0.6471893912391768,0.6471891565077644,0.6471896266727699,0.9814480945056326,0.981447589191786,0.981448607022547,0.833171656785432,0.8331684349749571,0.8331749097961498
mangal_1361,0.6542448444639178,0.6542446592178555,0.6542450271335294,0.9713241027237575,0.9713237250712903,0.9713244734606222,0.8321453237752205,0.832142965516048,0.8321476363177637
mangal_1389,0.6332848584238874,0.6332846005938793,0.6332851152307417,0.977395850931042,0.9773950064972127,0.9773967095039543,0.8032388197784311,0.8032330381181674,0.8032446430635397
mangal_1407,0.6385347189853693,0.6385345495149546,0.638534884121947,0.9763449874249673,0.9763448040180486,0.9763451705594126,0.8568325703282733,0.8568311477446829,0.8568339860972615
mangal_1321,0.6356631103553251,0.6356625084987721,0.63566371513452,0.972333392491296,0.9723316601113304,0.9723351039220379,0.8005532690962894,0.8005375067133734,0.8005692354545921
mangal_1393,0.6437417677026613,0.6437413608571647,0.6437421716612711,0.9782777831497379,0.9782766444740478,0.9782789146329706,0.809132344241233,0.809124987821204,0.8091397890762072
mangal_1345,0.6515183752287436,0.6515181581979065,0.6515185906746288,0.967141186214675,0.9671408352281566,0.9671415315353702,0.8315459631707071,0.8315436955297504,0.831548208256514
mangal_1402,0.6436985751144765,0.6436984357799235,0.6436987171970847,0.9838341964851959,0.9838339874197014,0.9838344077435281,0.8564188166437153,0.8564175547148033,0.8564200920393452
mangal_1346,0.6496971839179982,0.6496969424152245,0.6496974234418815,0.9728321441439826,0.9728316128418145,0.9728326699852964,0.8109772907122106,0.8109742318471892,0.810980256939844
mangal_1365,0.6359615153108292,0.6359612188619417,0.6359618117833943,0.9722545435040008,0.9722542308202814,0.9722548528957126,0.8508315810806133,0.8508294283789879,0.8508337594049862
mangal_1404,0.6471966093482628,0.6471960320955353,0.6471972075703692,0.9783525172218279,0.978350893472466,0.9783541130632332,0.8569138395143631,0.8569020249142498,0.8569254090516862
mangal_1323,0.6559367715466141,0.6559365993031662,0.6559369451890226,0.9661713940063608,0.9661710774925026,0.9661717165158383,0.7972384312284079,0.7972369667420394,0.7972399449667973
mangal_1372,0.6394901669159353,0.6394899836097847,0.6394903536915351,0.9777547135963621,0.9777544426913921,0.977754985433199,0.8477672461768266,0.8477653392078729,0.8477691063687631
mangal_1403,0.6446456710025401,0.6446441415851626,0.6446471914380782,0.9770411560808716,0.977036434528925,0.9770459449793002,0.8334443718602039,0.8334094026155684,0.8334796951178033
mangal_1369,0.6293498146166393,0.6293496586468577,0.6293499723080443,0.9796953867356668,0.979695153660126,0.9796956162172477,0.8657591649911641,0.8657576425525924,0.8657606777653649
mangal_1391,0.6453388785890541,0.6453386184498948,0.6453391346520498,0.976264271138678,0.9762636541888484,0.976264880905655,0.8122209368689184,0.8122172235691699,0.812224630653885
mangal_1343,0.6566020914995834,0.6566018838839388,0.6566023011694401,0.9752813251952517,0.9752809925486684,0.9752816603690448,0.8323652541112183,0.8323631531290838,0.8323673020301721
mangal_1342,0.6387519535691832,0.6387516323448124,0.63875226471345,0.9734290624257841,0.9734283821600347,0.9734297350126472,0.822230099392847,0.8222256592847246,0.8222345814005444
mangal_1309,0.640563125491921,0.6405627537243505,0.6405634966979081,0.9787758496063201,0.9787747123946371,0.9787769575943465,0.8188260501839014,0.8188176169261538,0.8188343963212202
mangal_1299,0.640433123927653,0.6404326284998549,0.6404336254401757,0.9807639252392705,0.9807626248176766,0.9807651988416497,0.8443025975526219,0.8442921626338665,0.8443129423038085
mangal_1375,0.6384080278642447,0.6384077143066798,0.6384083394955745,0.9790579754251296,0.979056969559868,0.9790590010256515,0.8061954469586472,0.8061888925801246,0.8062019252038838
mangal_1337,0.6426387453775131,0.6426382898375586,0.6426391936111786,0.9780750061970129,0.9780740426293654,0.9780759603698561,0.8594012537011178,0.8593935307303576,0.859409112362481
mangal_1428,0.6391566015166598,0.6391563358031657,0.6391568647749484,0.9715203571889484,0.9715198681038884,0.9715208430452318,0.82062627510768,0.8206226630794988,0.8206298229304012
mangal_1318,0.6376544053788057,0.6376541941717098,0.6376546165248141,0.9832952531176192,0.9832949841007025,0.9832955192934696,0.8661519072107762,0.8661506466842841,0.8661531842122292
mangal_1305,0.6427245288689952,0.6427243284328288,0.6427247280706875,0.9719653245607236,0.971965081184293,0.971965570206595,0.8575076980258052,0.8575055410303971,0.8575098048382174
mangal_1301,0.6416405051155478,0.6416400309694353,0.6416409843405231,0.9753475136246933,0.9753462187847511,0.9753488038020005,0.8210559418583311,0.8210468495466952,0.8210648970887633
mangal_1322,0.6481576751372448,0.6481574769752521,0.6481578715358386,0.9743470745982936,0.974346513904546,0.9743476340016372,0.8062015405621558,0.8061985827630734,0.8062045284330285
mangal_1385,0.6389460420228407,0.6389452766090865,0.6389468166810702,0.9787863445949472,0.9787845084359551,0.9787882055952972,0.8128592129803764,0.8128434151688702,0.8128753624071108
mangal_1324,0.6399026057414086,0.6399022956912144,0.6399029165968384,0.9751000466616191,0.9750993242647948,0.975100791452471,0.812144189255636,0.8121393676056556,0.8121490600056266
mangal_1295,0.6653575882647818,0.6653570640309314,0.6653581151844019,0.9844849956653137,0.9844845761930537,0.9844854149404135,0.8836070822136619,0.8836052417928276,0.8836089154337717
mangal_1327,0.6497026219976341,0.6497022128946397,0.6497030295914051,0.9726554403508232,0.9726545697201643,0.9726563214733206,0.8212645838911684,0.8212579423143794,0.8212711552512523
mangal_1376,0.6247011547484809,0.6247008911533393,0.6247014232086174,0.9771110328167674,0.9771097495572472,0.9771123108415078,0.7974923826496626,0.7974827908036366,0.7975019569706958
mangal_1325,0.6368120784903547,0.6368118438564815,0.6368123160151622,0.9749698183334844,0.9749692285254292,0.9749704218447343,0.8131503726101936,0.813147312585256,0.813153485777304
mangal_1319,0.6494844819721914,0.6494841614186709,0.6494848030330612,0.9892786966231819,0.9892784007500105,0.9892789886471463,0.9100644477915023,0.9100629221994543,0.9100658604289944
mangal_1326,0.6485653990410326,0.6485648306207773,0.6485659874513018,0.9767764551102104,0.976774811233633,0.9767781342076699,0.8365202253737866,0.8365089540857981,0.8365318806792643
mangal_1307,0.640017536559853,0.640017218358329,0.640017847722713,0.9779166303033026,0.9779157790860675,0.9779174997013877,0.8276326025838726,0.8276266650615804,0.827638652925652
mangal_1341,0.655436108233858,0.6554357820721022,0.6554364361228974,0.9773496537724394,0.9773491196864611,0.9773501933245498,0.865940896840713,0.8659360362724035,0.8659456527923772
mangal_1310,0.6399948713347914,0.6399947166931317,0.6399950292542772,0.9724905157552182,0.9724900797550459,0.9724909467110121,0.8027162545069879,0.8027133701809863,0.8027191127436286
mangal_1338,0.6508122818952418,0.6508119593892883,0.6508125996857629,0.9722329078730327,0.9722322380157828,0.9722335835273548,0.8243896715964167,0.8243848806740709,0.8243943495762217
mangal_1289,0.633774968649319,0.6337745156754345,0.6337754207400798,0.9793990798768646,0.9793982775825192,0.9793998883935968,0.8388493216042501,0.8388425574839081,0.8388560322794155
mangal_1302,0.647262610507185,0.6472622492304493,0.6472629646820118,0.9694304958711563,0.9694295036431525,0.9694314800571318,0.7891509268790163,0.7891447631176207,0.7891570298262534
mangal_1339,0.6366991298657707,0.6366987340411105,0.6366995185595248,0.9717564870422315,0.9717555376206898,0.9717574455503847,0.8090310245317659,0.8090243254242444,0.8090376748910075
mangal_1408,0.6476897510852182,0.6476893644383419,0.6476901410716991,0.9750212848243252,0.9750205569447263,0.9750220027834172,0.8705518898104802,0.8705461139702353,0.8705576156158669
mangal_1285,0.6527283836743251,0.652728051070238,0.6527287150530563,0.9759704767800688,0.9759694843682887,0.9759714947585864,0.7900238874605,0.790018884348829,0.7900289919861653
mangal_1415,0.6292304132836714,0.6292297644698415,0.6292310443407614,0.979317385741905,0.9793152785636262,0.9793194879927569,0.8107468505689533,0.8107276743721119,0.81076628643081206
mangal_1348,0.6425323446589838,0.6425319805322159,0.6425327047740708,0.9775287736269588,0.977528058752472,0.9775294841106473,0.8468471702400834,0.8468415552720874,0.8468527105140659
mangal_1304,0.6386790436351005,0.6386788103629257,0.6386792768134324,0.9787064128018059,0.9787059100866906,0.978706919719563,0.8219292786289338,0.8219264376375048,0.8219321188909169
mangal_1655,0.6364380425095896,0.6364371546065628,0.6364389573198297,0.9700008359778257,0.9699998941831709,0.970001753384144,0.8689864481130537,0.8689792888751768,0.8689935470643171
mangal_5015,0.6509880552988876,0.6509876365566807,0.650988472828268,0.979096708663832,0.9790953700498566,0.9790980495594651,0.8230976024782491,0.8230867948893263,0.8231083964238908
mangal_5016,0.63090823812393,0.6309079753876726,0.6309084982917531,0.9777783612069859,0.9777770419754673,0.9777797063946622,0.7975720622866997,0.7975622789484171,0.7975815918513006
mangal_5017,0.6406199366895888,0.6406192723396004,0.6406206022329296,0.9765089786655218,0.9765070640578896,0.9765108728788534,0.8158262541751014,0.8158093169374909,0.815843183502812
mangal_5018,0.6394403597533596,0.6394400049443284,0.6394407159957605,0.9791307126377794,0.9791297057145036,0.9791317026988066,0.8272130855998353,0.8272046453167626,0.827221388888544
mangal_5019,0.6387222258961834,0.6387218439282385,0.6387226026472308,0.9800023279138094,0.9800010541408508,0.9800035844214716,0.8112007748696394,0.8111920737282348,0.8112095067402476
