network_id,node_from,node_to,link_type,link_direction,link_value,link_units,taxonomy_name_from,taxonomy_rank_from,kingdom_from,taxonomy_name_to,taxonomy_rank_to,kingdom_to
mangal_929,mangal_node_2253,mangal_node_2263,mutualism,directed,140,visits,Centris tarsata,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2253,mangal_node_2264,mutualism,directed,308,visits,Centris tarsata,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2253,mangal_node_2264,mutualism,directed,332,visits,Centris tarsata,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2253,mangal_node_2265,mutualism,directed,132,visits,Centris tarsata,species,Animalia,Dicella bracteosa,species,Plantae
mangal_929,mangal_node_2253,mangal_node_2266,mutualism,directed,200,visits,Centris tarsata,species,Animalia,Carolus chasei,species,Plantae
mangal_929,mangal_node_2253,mangal_node_2268,mutualism,directed,116,visits,Centris tarsata,species,Animalia,Banisteriopsis stellaris,species,Plantae
mangal_929,mangal_node_2253,mangal_node_2269,mutualism,directed,120,visits,Centris tarsata,species,Animalia,Banisteriopsis schizoptera,species,Plantae
mangal_929,mangal_node_2253,mangal_node_2272,mutualism,directed,96,visits,Centris tarsata,species,Animalia,Janusia anisandra,species,Plantae
mangal_929,mangal_node_2254,mangal_node_2261,mutualism,directed,416,visits,Centris flavifrons,species,Animalia,Diplopterys pubipetala,species,Plantae
mangal_929,mangal_node_2254,mangal_node_2263,mutualism,directed,272,visits,Centris flavifrons,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2254,mangal_node_2264,mutualism,directed,404,visits,Centris flavifrons,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2254,mangal_node_2265,mutualism,directed,524,visits,Centris flavifrons,species,Animalia,Dicella bracteosa,species,Plantae
mangal_929,mangal_node_2254,mangal_node_2270,mutualism,directed,196,visits,Centris flavifrons,species,Animalia,Stigmaphyllon auriculatum,species,Plantae
mangal_929,mangal_node_2254,mangal_node_2271,mutualism,directed,164,visits,Centris flavifrons,species,Animalia,Stigmaphyllon ciliatum,species,Plantae
mangal_929,mangal_node_2255,mangal_node_2261,mutualism,directed,256,visits,Centris trigonoides,species,Animalia,Diplopterys pubipetala,species,Plantae
mangal_929,mangal_node_2255,mangal_node_2263,mutualism,directed,652,visits,Centris trigonoides,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2255,mangal_node_2264,mutualism,directed,300,visits,Centris trigonoides,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2255,mangal_node_2264,mutualism,directed,324,visits,Centris trigonoides,species,Animalia,Heteropterys,genus,Plantae
