network_id,small_omega_mean,small_omega_lowerCI,small_omega_upperCI,anisotropy_index_mean,anisotropy_index_lowerCI,anisotropy_index_upperCI,mean_pairwise_similarity_mean,mean_pairwise_similarity_lowerCI,mean_pairwise_similarity_upperCI
mangal_929,0.6207386655456214,0.6207382973018342,0.6207390364041955,0.9710583959363137,0.9710570566029783,0.9710597544849218,0.7682993665985863,0.7682927379555152,0.7683060452011156
mangal_1384,0.5963390782965977,0.5963389250540557,0.5963392330720502,0.9769549395932124,0.9769546536555441,0.9769552302125827,0.8605322704452127,0.8605298356764631,0.8605347497242556
mangal_1388,0.600068479225146,0.6000682577550346,0.6000687008313608,0.9726533967792856,0.9726529344205007,0.9726538599989318,0.8281563673106644,0.8281531010729694,0.8281595588743141
mangal_1387,0.6006495303226491,0.6006491992621702,0.6006498589171682,0.9805359690474099,0.980535096394231,0.9805368224714798,0.8309244209753955,0.8309201030465534,0.8309287633659355
mangal_1361,0.6134857886988029,0.6134856672167649,0.613485912359728,0.9685412447672714,0.9685409741329262,0.9685415172277362,0.821468827263484,0.8214672202114708,0.8214704087183623
mangal_1389,0.5611721243096754,0.5611716107377211,0.5611726482715123,0.9779582043810006,0.9779563513001015,0.9779600300131677,0.8064662060055249,0.8064529402643852,0.8064794412364381
mangal_1407,0.6095308833162871,0.6095304391961099,0.609531339130627,0.9750117534181281,0.9750111739188166,0.975012333106961,0.855599821435355,0.8555950598882378,0.8556045738074879
mangal_1321,0.5714776438422157,0.5714765960257565,0.5714787207026506,0.9725991177061696,0.9725964237686866,0.9726018015060461,0.8088163357525584,0.8087950956737285,0.8088374260909889
mangal_1393,0.5874244572815439,0.5874235138457763,0.5874253820905617,0.976551909853139,0.976549401184767,0.9765544432744909,0.8044899809475077,0.8044721306617438,0.8045079667139596
mangal_1345,0.6145155281877921,0.6145153835001407,0.6145156710907766,0.9637269064582705,0.9637266381239645,0.9637271689884339,0.8298588658374383,0.8298574605914478,0.8298602439061136
mangal_1402,0.6161649558449849,0.6161647970018471,0.6161651154636139,0.9835065002737864,0.983506242772332,0.9835067600438345,0.8552953861228842,0.8552939746501311,0.8552968085845398
mangal_1346,0.6109733856814379,0.6109732012556425,0.6109735703423511,0.9719235307833562,0.9719231322094991,0.9719239282870171,0.8145089221654892,0.8145066320818305,0.8145111699127779
mangal_1365,0.610835189910157,0.6108343789671717,0.6108359879710011,0.9708882411540648,0.9708873364100588,0.9708891660279673,0.8508859716625398,0.8508788858984493,0.8508930819430812
mangal_1404,0.5853826972999135,0.5853823134228037,0.5853830760616601,0.9807092957503115,0.9807085323776846,0.9807100389341342,0.8750496523896593,0.8750416669965527,0.8750574039012645
mangal_1323,0.6268810802995988,0.6268809386538116,0.6268812201993681,0.9627122298189061,0.9627119787556137,0.9627124815693433,0.7924762444592615,0.7924750579565906,0.7924774108307893
mangal_1372,0.6078602586287161,0.6078595748645829,0.6078609386969066,0.9760523164283117,0.9760511180483944,0.9760535129918878,0.8433038765812235,0.8432956674439526,0.8433120421038522
mangal_1403,0.5870584694762744,0.587055913339617,0.5870610015578321,0.9770124304044667,0.9770047652442745,0.977020046016924,0.8389259656308592,0.8388671424255333,0.8389843188660743
mangal_1369,0.5952234543199796,0.5952232941438886,0.5952236140303672,0.9796928587958992,0.9796925876916723,0.9796931302767846,0.8666609201311608,0.8666591694003968,0.8666626662663582
mangal_1391,0.5990722876048484,0.5990720119352408,0.5990725622489227,0.9752479589751233,0.975247276524027,0.9752486106550882,0.8105467329465917,0.8105424118502553,0.8105509086591023
mangal_1343,0.623115911550912,0.6231157413323061,0.6231160814535709,0.9727228739773728,0.9727225688064517,0.9727231822295626,0.8238221225831944,0.8238203059738,0.8238239222856683
mangal_1342,0.5898939590947376,0.5898937584289408,0.5898941580351198,0.9736187390047335,0.9736183416621847,0.9736191381987994,0.834675245593191,0.8346722627235154,0.8346782415430644
mangal_1309,0.5697835151230699,0.5697829411701656,0.5697840922687603,0.9797548844791687,0.9797533013859644,0.9797564528499358,0.8302968343035222,0.830282744654891,0.8303107115387158
mangal_1299,0.5798555801870486,0.5798529330962631,0.5798582126799517,0.9821503829458201,0.982143161350308,0.9821575100139295,0.8606446870843445,0.8605730166603649,0.8607156949476935
mangal_1375,0.5768377842437583,0.5768371009473383,0.5768384574150337,0.9808732093969725,0.9808712062968976,0.9808751944824607,0.818242163179675,0.818226424683729,0.8182578109838567
mangal_1337,0.5863481629385506,0.5863464519288163,0.5863498969876036,0.9786869448013029,0.97868412417589,0.9786897048161433,0.8720819806894045,0.8720449953058619,0.8721182492788242
mangal_1428,0.5914430975598642,0.5914419102587063,0.5914442703235924,0.9704089280421605,0.970407235802859,0.9704105974082795,0.8279736797487868,0.8279577907163462,0.8279892716040103
mangal_1318,0.6179243148799582,0.6179241091069698,0.6179245197982298,0.9811174867472409,0.9811172069934943,0.9811177733469365,0.8579677860888176,0.8579665594382935,0.8579690225416139
mangal_1305,0.607679359837947,0.6076792198084728,0.607679501384805,0.9707234014715408,0.9707232108616373,0.9707235914249742,0.854860156970956,0.8548586012025949,0.8548617589992463
mangal_1301,0.5771416682460616,0.5771378802134046,0.5771455434455918,0.9744327548133573,0.9744224072089778,0.974442932881692,0.822696024573849,0.8226128263861987,0.8227780149862275
mangal_1322,0.597593768282782,0.5975936236122337,0.5975939120191914,0.9732712243636135,0.9732707904830422,0.9732716507150286,0.8077489929784597,0.8077465845367336,0.807751328640735
mangal_1385,0.5827177713968864,0.582716763449019,0.5827187575935059,0.9775630719910302,0.977560320681442,0.9775658663469897,0.8074181463095911,0.807398814937863,0.8074374311203903
mangal_1324,0.590385455619702,0.5903852136839928,0.5903856981195688,0.9742157560226757,0.9742151338485394,0.9742163802558825,0.8083532763224859,0.8083494177889149,0.8083571011897658
mangal_1295,0.6581252072827369,0.6581246828538072,0.6581257300977229,0.9815348494937157,0.9815343360033706,0.9815353508943041,0.8739032428015902,0.8739012479659004,0.8739052205753369
mangal_1327,0.5916361920991896,0.5916353074321813,0.5916370782257436,0.97121414238761,0.9712127398302345,0.9712155394776889,0.8206694430209865,0.8206591972268162,0.8206796932265965
mangal_1376,0.5195072880872399,0.5195065648408802,0.5195080199188435,0.9809841370036912,0.9809805652240752,0.9809877550347912,0.8123792714026769,0.8123443155233716,0.8124150145140988
