network_id,node_from,node_to,link_type,link_direction,link_value,link_units
mangal_1384,mangal_node_3667,mangal_node_3693,mutualism,undirected,2,NA
mangal_1384,mangal_node_3695,mangal_node_3691,mutualism,undirected,2,NA
mangal_1388,mangal_node_3636,mangal_node_3638,mutualism,undirected,2,NA
mangal_1388,mangal_node_3709,mangal_node_3648,mutualism,undirected,1,NA
mangal_1388,mangal_node_3651,mangal_node_3643,mutualism,undirected,2,NA
mangal_1388,mangal_node_3651,mangal_node_3656,mutualism,undirected,1,NA
mangal_1388,mangal_node_3641,mangal_node_3691,mutualism,undirected,3,NA
mangal_1388,mangal_node_3641,mangal_node_3638,mutualism,undirected,2,NA
mangal_1388,mangal_node_3641,mangal_node_3652,mutualism,undirected,4,NA
mangal_1388,mangal_node_3641,mangal_node_1427,mutualism,undirected,1,NA
mangal_1388,mangal_node_3641,mangal_node_3650,mutualism,undirected,2,NA
mangal_1388,mangal_node_3641,mangal_node_3646,mutualism,undirected,1,NA
mangal_1388,mangal_node_3651,mangal_node_3648,mutualism,undirected,1,NA
mangal_1388,mangal_node_3641,mangal_node_3643,mutualism,undirected,42,NA
mangal_1388,mangal_node_3641,mangal_node_3656,mutualism,undirected,4,NA
mangal_1388,mangal_node_3641,mangal_node_3664,mutualism,undirected,1,NA
mangal_1388,mangal_node_3641,mangal_node_3648,mutualism,undirected,31,NA
mangal_1388,mangal_node_3651,mangal_node_3652,mutualism,undirected,4,NA
mangal_1388,mangal_node_3651,mangal_node_3710,mutualism,undirected,1,NA
mangal_1388,mangal_node_3641,mangal_node_3654,mutualism,undirected,4,NA
mangal_1388,mangal_node_3636,mangal_node_3684,mutualism,undirected,1,NA
mangal_1387,mangal_node_3675,mangal_node_3638,mutualism,undirected,1,NA
mangal_1387,mangal_node_3695,mangal_node_3638,mutualism,undirected,2,NA
mangal_1387,mangal_node_3641,mangal_node_3735,mutualism,undirected,1,NA
mangal_1387,mangal_node_3669,mangal_node_3644,mutualism,undirected,1,NA
mangal_1387,mangal_node_3636,mangal_node_3656,mutualism,undirected,1,NA
mangal_1387,mangal_node_3675,mangal_node_3719,mutualism,undirected,1,NA
mangal_1387,mangal_node_3641,mangal_node_3648,mutualism,undirected,4,NA
mangal_1387,mangal_node_3636,mangal_node_1427,mutualism,undirected,2,NA
mangal_1387,mangal_node_3675,mangal_node_3644,mutualism,undirected,1,NA
mangal_1387,mangal_node_3636,mangal_node_3722,mutualism,undirected,1,NA
mangal_1387,mangal_node_3636,mangal_node_3638,mutualism,undirected,1,NA
mangal_1387,mangal_node_3651,mangal_node_3648,mutualism,undirected,2,NA
mangal_1387,mangal_node_3641,mangal_node_3649,mutualism,undirected,2,NA
mangal_1387,mangal_node_3675,mangal_node_3653,mutualism,undirected,1,NA
mangal_1387,mangal_node_3669,mangal_node_3719,mutualism,undirected,2,NA
mangal_1387,mangal_node_3641,mangal_node_3643,mutualism,undirected,3,NA
mangal_1387,mangal_node_3695,mangal_node_3644,mutualism,undirected,1,NA
mangal_1387,mangal_node_3636,mangal_node_3654,mutualism,undirected,1,NA
mangal_1361,mangal_node_3636,mangal_node_3638,mutualism,undirected,1,NA
mangal_1361,mangal_node_3636,mangal_node_3642,mutualism,undirected,1,NA
mangal_1361,mangal_node_3641,mangal_node_3643,mutualism,undirected,1,NA
mangal_1361,mangal_node_3636,mangal_node_3656,mutualism,undirected,2,NA
mangal_1361,mangal_node_3641,mangal_node_3648,mutualism,undirected,8,NA
mangal_1361,mangal_node_3647,mangal_node_3652,mutualism,undirected,2,NA
mangal_1361,mangal_node_3641,mangal_node_3736,mutualism,undirected,1,NA
mangal_1361,mangal_node_3636,mangal_node_3717,mutualism,undirected,1,NA
mangal_1361,mangal_node_3636,mangal_node_3648,mutualism,undirected,5,NA
mangal_1361,mangal_node_3636,mangal_node_3652,mutualism,undirected,8,NA
mangal_1361,mangal_node_3641,mangal_node_3649,mutualism,undirected,1,NA
mangal_1361,mangal_node_3636,mangal_node_3650,mutualism,undirected,1,NA
mangal_1361,mangal_node_3647,mangal_node_3648,mutualism,undirected,6,NA
mangal_1361,mangal_node_3636,mangal_node_3643,mutualism,undirected,1,NA
mangal_1361,mangal_node_3636,mangal_node_3644,mutualism,undirected,2,NA
mangal_1389,mangal_node_3651,mangal_node_3648,mutualism,undirected,7,NA
mangal_1389,mangal_node_3641,mangal_node_3642,mutualism,undirected,1,NA
mangal_1389,mangal_node_3675,mangal_node_3642,mutualism,undirected,1,NA
mangal_1389,mangal_node_3651,mangal_node_3652,mutualism,undirected,5,NA
mangal_1389,mangal_node_3651,mangal_node_3643,mutualism,undirected,4,NA
mangal_1389,mangal_node_3647,mangal_node_3736,mutualism,undirected,1,NA
mangal_1389,mangal_node_3695,mangal_node_3723,mutualism,undirected,3,NA
mangal_1389,mangal_node_3647,mangal_node_3717,mutualism,undirected,1,NA
mangal_1389,mangal_node_3641,mangal_node_3646,mutualism,undirected,1,NA
mangal_1389,mangal_node_3695,mangal_node_3638,mutualism,undirected,2,NA
mangal_1389,mangal_node_3640,mangal_node_3648,mutualism,undirected,2,NA
mangal_1389,mangal_node_3640,mangal_node_3642,mutualism,undirected,2,NA
mangal_1389,mangal_node_3636,mangal_node_3652,mutualism,undirected,2,NA
mangal_1389,mangal_node_3640,mangal_node_3652,mutualism,undirected,4,NA
mangal_1389,mangal_node_3667,mangal_node_3643,mutualism,undirected,1,NA
mangal_1389,mangal_node_3647,mangal_node_3710,mutualism,undirected,1,NA
mangal_1389,mangal_node_3647,mangal_node_3733,mutualism,undirected,1,NA
mangal_1389,mangal_node_3675,mangal_node_3717,mutualism,undirected,1,NA
mangal_1389,mangal_node_3667,mangal_node_3646,mutualism,undirected,1,NA
mangal_1389,mangal_node_3647,mangal_node_3648,mutualism,undirected,8,NA
mangal_1389,mangal_node_3738,mangal_node_3648,mutualism,undirected,1,NA
mangal_1389,mangal_node_3695,mangal_node_3642,mutualism,undirected,1,NA
mangal_1389,mangal_node_3647,mangal_node_3652,mutualism,undirected,13,NA
mangal_1389,mangal_node_3641,mangal_node_3643,mutualism,undirected,6,NA
mangal_1389,mangal_node_3667,mangal_node_3649,mutualism,undirected,1,NA
mangal_1389,mangal_node_3641,mangal_node_3656,mutualism,undirected,1,NA
mangal_1389,mangal_node_3737,mangal_node_3722,mutualism,undirected,1,NA
mangal_1389,mangal_node_3641,mangal_node_3691,mutualism,undirected,3,NA
mangal_1389,mangal_node_3641,mangal_node_3648,mutualism,undirected,22,NA
mangal_1389,mangal_node_3667,mangal_node_3648,mutualism,undirected,4,NA
mangal_1389,mangal_node_3667,mangal_node_3642,mutualism,undirected,1,NA
mangal_1389,mangal_node_3641,mangal_node_3652,mutualism,undirected,1,NA
mangal_1389,mangal_node_3647,mangal_node_1609,mutualism,undirected,1,NA
mangal_1389,mangal_node_3675,mangal_node_2186,mutualism,undirected,2,NA
mangal_1389,mangal_node_3651,mangal_node_3710,mutualism,undirected,2,NA
mangal_1389,mangal_node_3641,mangal_node_3688,mutualism,undirected,1,NA
mangal_1389,mangal_node_3641,mangal_node_3728,mutualism,undirected,1,NA
mangal_1389,mangal_node_3737,mangal_node_3666,mutualism,undirected,1,NA
mangal_1407,mangal_node_3636,mangal_node_3648,mutualism,undirected,1,NA
mangal_1407,mangal_node_3641,mangal_node_3652,mutualism,undirected,1,NA
mangal_1407,mangal_node_3695,mangal_node_3638,mutualism,undirected,3,NA
mangal_1407,mangal_node_3641,mangal_node_3648,mutualism,undirected,1,NA
mangal_1407,mangal_node_3695,mangal_node_3722,mutualism,undirected,1,NA
mangal_1407,mangal_node_3641,mangal_node_3723,mutualism,undirected,1,NA
mangal_1407,mangal_node_3641,mangal_node_3646,mutualism,undirected,2,NA
mangal_1407,mangal_node_3641,mangal_node_3649,mutualism,undirected,2,NA
mangal_1321,mangal_node_3641,mangal_node_3648,mutualism,undirected,3.5,NA
mangal_1321,mangal_node_3641,mangal_node_3643,mutualism,undirected,12.5,NA
mangal_1321,mangal_node_3742,mangal_node_1427,mutualism,undirected,1,NA
mangal_1321,mangal_node_3641,mangal_node_3649,mutualism,undirected,6,NA
mangal_1321,mangal_node_3689,mangal_node_3656,mutualism,undirected,1,NA
mangal_1321,mangal_node_3689,mangal_node_3690,mutualism,undirected,2,NA
mangal_1321,mangal_node_3636,mangal_node_3648,mutualism,undirected,4,NA
mangal_1321,mangal_node_3641,mangal_node_3652,mutualism,undirected,1,NA
mangal_1321,mangal_node_3636,mangal_node_1427,mutualism,undirected,1,NA
mangal_1321,mangal_node_3636,mangal_node_3649,mutualism,undirected,1,NA
mangal_1321,mangal_node_3636,mangal_node_3710,mutualism,undirected,1,NA
mangal_1321,mangal_node_3689,mangal_node_3722,mutualism,undirected,1,NA
mangal_1321,mangal_node_3651,mangal_node_3728,mutualism,undirected,1,NA
mangal_1321,mangal_node_3641,mangal_node_3638,mutualism,undirected,1,NA
mangal_1321,mangal_node_3744,mangal_node_3648,mutualism,undirected,1,NA
mangal_1321,mangal_node_3744,mangal_node_3643,mutualism,undirected,1,NA
mangal_1321,mangal_node_3689,mangal_node_2186,mutualism,undirected,2,NA
mangal_1321,mangal_node_3641,mangal_node_3736,mutualism,undirected,2.5,NA
mangal_1321,mangal_node_3636,mangal_node_3654,mutualism,undirected,1,NA
mangal_1321,mangal_node_3689,mangal_node_3648,mutualism,undirected,1,NA
mangal_1321,mangal_node_3689,mangal_node_3643,mutualism,undirected,1,NA
mangal_1321,mangal_node_3641,mangal_node_1427,mutualism,undirected,1,NA
mangal_1321,mangal_node_3689,mangal_node_3649,mutualism,undirected,17,NA
mangal_1321,mangal_node_3636,mangal_node_3650,mutualism,undirected,1,NA
mangal_1321,mangal_node_3636,mangal_node_3728,mutualism,undirected,3,NA
mangal_1321,mangal_node_3641,mangal_node_3677,mutualism,undirected,1,NA
mangal_1321,mangal_node_3641,mangal_node_3728,mutualism,undirected,3,NA
mangal_1321,mangal_node_3743,mangal_node_3745,mutualism,undirected,1,NA
mangal_1321,mangal_node_3744,mangal_node_3728,mutualism,undirected,1,NA
mangal_1321,mangal_node_3689,mangal_node_3724,mutualism,undirected,1,NA
