node_id,taxonomy_name,taxonomy_rank,kingdom
mangal_node_2039,Geum rossii,species,Plantae
mangal_node_2040,Oxytropis arctica,species,Plantae
mangal_node_2041,Bombus brasiliensis,species,Animalia
mangal_node_2042,Amazilia versicolor,species,Animalia
mangal_node_2043,Anthracothorax nigricollis,species,Animalia
mangal_node_2044,Clytolaema rubricauda,species,Animalia
mangal_node_2045,Leucochloris albicollis,species,Animalia
mangal_node_2046,Lophornis magnificus,species,Animalia
mangal_node_2047,Phaethornis eurynome,species,Animalia
mangal_node_2048,Thalurania glaucopis,species,Animalia
mangal_node_2049,Anoura caudifer,species,Animalia
mangal_node_2050,Anoura geoffroyi,species,Animalia
mangal_node_2051,Aechmea cylindrata,species,Plantae
mangal_node_2052,Vriesea altodaserrae,species,Plantae
mangal_node_2053,Nidularium campo-alegrensis,species,Plantae
mangal_node_2054,Vriesea guttata,species,Plantae
mangal_node_2055,Vriesea heterostachys,species,Plantae
mangal_node_2056,Vriesea hoehneana,species,Plantae
mangal_node_2057,Vriesea platynema,species,Plantae
mangal_node_2120,Aralia nudicaulis,species,Plantae
mangal_node_2121,Chimaphila umbellata,species,Plantae
mangal_node_2122,Clintonia borealis,species,Plantae
mangal_node_2123,Cornus canadensis,species,Plantae
mangal_node_2124,Cypripedium acaule,species,Plantae
mangal_node_2125,Linnaea borealis,species,Plantae
mangal_node_2126,Maianthemum canadense,species,Plantae
mangal_node_2127,Medeola virginiana,species,Plantae
mangal_node_2128,Oxalis montana,species,Plantae
mangal_node_2129,Orthilia secunda,species,Plantae
mangal_node_2130,Lysimachia borealis,species,Plantae
mangal_node_2131,Trillium undulatum,species,Plantae
mangal_node_2132,Andrena wheeleri,species,Animalia
mangal_node_2133,Andrena w-scripta,species,Animalia
mangal_node_2134,Bombus perplexus,species,Animalia
mangal_node_2135,Bombus terricola,species,Animalia
mangal_node_2136,Bombus vagans,species,Animalia
mangal_node_2137,Cheilosia tristis,NA,Animalia
mangal_node_2138,Lasioglossum flavipes,species,Animalia
mangal_node_2139,Eusphalerum convexum,species,Animalia
mangal_node_2140,Eusphalerum,genus,Animalia
mangal_node_2142,Trachysida aspera,species,Animalia
mangal_node_2143,Paramyia nitens,species,Animalia
mangal_node_2144,Andrena wilkella,species,Animalia
mangal_node_2145,Bombus ternarius,species,Animalia
mangal_node_2147,Parasyrphus relictus,species,Animalia
mangal_node_2148,Poanes hobomok,species,Animalia
mangal_node_2149,Rhopalum,genus,Animalia
mangal_node_2150,Sarcophaga nearctica,species,Animalia
mangal_node_2152,Acmaeopsoides rufula,species,Animalia
mangal_node_2153,Ancistrocerus,genus,Animalia
mangal_node_2154,Andrena melanochroa,species,Animalia
mangal_node_2155,Andrena miranda,species,Animalia
mangal_node_2156,Andrena nivalis,species,Animalia
mangal_node_2157,Andrena rufosignata,species,Animalia
mangal_node_2158,Andrena sigmundi,species,Animalia
mangal_node_2159,Andrena thaspii,species,Animalia
mangal_node_2160,Anthaxia expansa,species,Animalia
mangal_node_2161,Anthonomus,genus,Animalia
mangal_node_2162,Blera badia,species,Animalia
mangal_node_2163,Blera confusa,species,Animalia
mangal_node_2164,Blera nigripes,species,Animalia
mangal_node_2165,Bombylius major,species,Animalia
mangal_node_2166,Cantharis,genus,Animalia
mangal_node_2167,Celastrina argiolus,species,Animalia
mangal_node_2168,Chalcosyrphus inarmatus,species,Animalia
mangal_node_2169,Cheilosia sialia,NA,Animalia
mangal_node_2170,Crabro,genus,Animalia
mangal_node_2171,Dalopius,NA,Animalia
mangal_node_2172,Eudasyphora cyanicolor,species,Animalia
mangal_node_2173,Evodinus monticola,species,Animalia
mangal_node_2175,Hylaeus basalis,species,Animalia
mangal_node_2176,Judolia montivagans,species,Animalia
mangal_node_2177,Nomada sayi,species,Animalia
mangal_node_2178,Orsodacne atra,species,Animalia
mangal_node_2180,Phaonia serva,species,Animalia
mangal_node_2181,Pieris napi,species,Animalia
mangal_node_2182,Bombus ashtoni,species,Animalia
mangal_node_2183,Sphaerophoria bifurcata,species,Animalia
mangal_node_2184,Sphaerophoria longipilosa,species,Animalia
mangal_node_2187,Temnostoma alternans,species,Animalia
mangal_node_2188,Temnostoma balyras,species,Animalia
mangal_node_2189,Temnostoma barberi,species,Animalia
mangal_node_2190,Tychius stephensi,species,Animalia
mangal_node_2191,Xylota hinei,species,Animalia
mangal_node_2192,Xylota,genus,Animalia
mangal_node_2193,Fannia ungulata,species,Animalia
mangal_node_2194,Hylaeus ellipticus,NA,Animalia
mangal_node_2195,Osmia pumila,species,Animalia
mangal_node_2196,Passaloecus,genus,Animalia
mangal_node_2197,Platycheirus rosarum,species,Animalia
mangal_node_2198,Cheilosia slossonae,NA,Animalia
mangal_node_2199,Nomada cuneata,species,Animalia
mangal_node_2200,Phalaenophana pyramusalis,NA,Animalia
mangal_node_2201,Thamnotettix confinis,species,Animalia
mangal_node_2202,Ephemerella,genus,Animalia
mangal_node_2203,Cheilosia pallipes,species,Animalia
mangal_node_2204,Melanostoma,genus,Animalia
mangal_node_2205,Coelioxys producta,species,Animalia
mangal_node_2216,Amazilia fimbriata,NA,Animalia
mangal_node_2217,Glaucis hirsutus,species,Animalia
mangal_node_2218,Phaethornis squalidus,species,Animalia
mangal_node_2219,Rhamphodon naevius,NA,Animalia
mangal_node_2220,Heliconius erato,species,Animalia
mangal_node_2221,Heliconius ethilla,species,Animalia
mangal_node_2222,Heliconius nattereri,species,Animalia
mangal_node_2223,Heliconius sara,species,Animalia
mangal_node_2224,Oleria aquata,species,Animalia
mangal_node_2225,Saliana triangularis,species,Animalia
mangal_node_2226,Bombus morio,species,Animalia
mangal_node_2227,Epicharis obscura,species,Animalia
mangal_node_2228,Euglossa chalybeata,species,Animalia
mangal_node_2229,Euglossa,genus,Animalia
mangal_node_2230,Trigona fulviventris,species,Animalia
mangal_node_2231,Aechmea araneosa,species,Plantae
mangal_node_2232,Aechmea triangularis,species,Plantae
mangal_node_2233,Aechmea victoriana,species,Plantae
